Name,City,State,Total number of postions (approx),Typical Interview Pattern,# openings 2025 (month),# openings 2026 (month),# openings 2027 (month),Application window begins?,Application Deadline,Funding source/restriction /visa,Website,Email,Date entry updated,Notes/Comments,Specialty,Code
University of Alabama at Birmingham (UAB) Hospital,Birmingham,AL,1,every other year,0,1 (July),0,"May 1st, 2025","September 30th, 2025",UAB Hospital Labs,https://www.uab.edu/medicine/genetics/education/fellowships/clinical-laboratory-genetics-and-genomics-fellowship,asharpe@uabmc.edu,7/12/24,,Laboratory genetics and genomics (Medical Related Specialty),M020100001
UCLA David Geffen School of Medicine/UCLA Medical Center Program,Los Angeles,CA,3,every year,2 (July),1 (July),2 (July),June 1," Wednesday, Jul 31, 2024 at 11:59pm (PT) full consideration; Final date: Tuesday, Dec 31, 2024 at 11:59pm (PT)",Departmental,https://www.uclahealth.org/departments/pathology/education/fellowship-programs/acgme-fellowship-programs/laboratory-genetics-and-genomics,aaldapa@mednet.ucla.edu,11/6/2024,,Laboratory genetics and genomics (Medical Related Specialty),M020500001
Stanford Health Care Program,Palo Alto,CA,2,every year,1(July),1(July),1(July),July15th,Sept 15th ,GME,https://med.stanford.edu/medicalgenetics/education/med_biochem11.html,Mary Riordan <mriordan@stanford.edu>,7/23/2024,,Laboratory genetics and genomics (Medical Related Specialty),M020500002
University of California (San Francisco) School of Medicine Program,San Francisco,CA,1,every other year,,1 (July),,,,,https://pathology.ucsf.edu/training/fellowship/ap/lgg,Suria.sadat@ucsf.edu,7/9/25,,Laboratory genetics and genomics (Medical Related Specialty),M020500003
University of Colorado School of Medicine Program,Aurora,CO,2,Every 1-2 years,,,,Aug 1,Oct 31,,https://medschool.cuanschutz.edu/pediatrics/sections/genetics-and-metabolism/laboratory-genetics-and-genomics-fellowship,Sara.Higsley@cuanschutz.edu,,,Laboratory genetics and genomics (Medical Related Specialty),M020700001
Yale-New Haven Hospital Program,New Haven,CT,4,Every 1-2 years,,,,Sept 1,Dec 31st ,,https://medicine.yale.edu/genetics/,melissa.lewkowicz@yale.edu,,,Laboratory genetics and genomics (Medical Related Specialty),M020800001
University of Chicago Medical Center Program,Chicago,IL,1,every other year,1(July) ,,,May 1st,August 31st,Departmental ,https://genes.uchicago.edu/fellowship-training,Adeyinka.Ogunbekun@bsd.uchicago.edu,,,Laboratory genetics and genomics (Medical Related Specialty),M021600001
Indiana University School of Medicine Program,Indianapolis,IN,2,Every 1-2 years,,,,,August 31st,,https://medicine.iu.edu/genetics/education/fellowship,rshoardj@iu.edu,,,Laboratory genetics and genomics (Medical Related Specialty),M021700001
University of Iowa Hospitals and Clinics Program,Iowa City,IA,2,every year,1 (July),1 (July),,July 1,Sept 30,,https://gme.medicine.uiowa.edu/laboratory-genetics-and-genomics-fellowship,jaime-nagy@uiowa.edu,7/10/24,,Laboratory genetics and genomics (Medical Related Specialty),M021800001
Johns Hopkins University School of Medicine Program,Baltimore,MD,TBD,Every 1-2 years,0,0,,,,,https://www.hopkinsmedicine.org/genetic-medicine/education-training/research-postdoctoral-fellows/application,GeneticResidency@jhmi.edu,7/10/2024,,Laboratory genetics and genomics (Medical Related Specialty),M022300001
Clinical Center at the National Institutes of Health Program,Bethesda,MD,6-11,Every 1-2 years,,,,,,,https://www.genome.gov/careers-training/research-training/Medical-Fellowship-Program,kyia.reynolds-davis@nih.gov,,,Laboratory genetics and genomics (Medical Related Specialty),M022300002
